id,title,total_books,total_votes
27494,Best Books Ever,122608,256088
4406,Best Books Ever,122608,256088
14905,Best Books Ever,122608,256088
656,Best Books Ever,122608,256088
77013,Best Books Ever,122608,256088
6689,Best Books Ever,122608,256088
45032,Best Books Ever,122608,256088
43035,Best Books Ever,122608,256088
5113,Best Books Ever,122608,256088
10429045,Best Books Ever,122608,256088
16096824,Best Books Ever,122608,256088
16068905,Best Books Ever,122608,256088
15745753,Best Books Ever,122608,256088
1420,Best Books Ever,122608,256088
10644930,Best Books Ever,122608,256088
26032825,Best Books Ever,122608,256088
42899,Best Books Ever,122608,256088
27362503,Best Books Ever,122608,256088
9275658,Best Books Ever,122608,256088
862041,Best Books Ever,122608,256088
9375,Best Books Ever,122608,256088
29579,Best Books Ever,122608,256088
10920,Best Books Ever,122608,256088
19089,Best Books Ever,122608,256088
12127810,Best Books Ever,122608,256088
646462,Best Books Ever,122608,256088
16735,Best Books Ever,122608,256088
3153910,Best Books Ever,122608,256088
37732,Best Books Ever,122608,256088
301082,Best Books Ever,122608,256088
12127750,Best Books Ever,122608,256088
21,Best Books Ever,122608,256088
2213661,Best Books Ever,122608,256088
6801755,Best Books Ever,122608,256088
37781,Best Books Ever,122608,256088
5826,Best Books Ever,122608,256088
227711,Best Books Ever,122608,256088
36402034,Best Books Ever,122608,256088
8921,Best Books Ever,122608,256088
227443,Best Books Ever,122608,256088
9969571,Best Books Ever,122608,256088
4374400,Best Books Ever,122608,256088
19380,Best Books Ever,122608,256088
45978,Best Books Ever,122608,256088
13536860,Best Books Ever,122608,256088
30236962,Best Books Ever,122608,256088
44186,Best Books Ever,122608,256088
58345,Best Books Ever,122608,256088
16902,Best Books Ever,122608,256088
32542,Best Books Ever,122608,256088
46799,Best Books Ever,122608,256088
391729,Best Books Ever,122608,256088
6334,Best Books Ever,122608,256088
76778,Best Books Ever,122608,256088
569564,Best Books Ever,122608,256088
9520360,Best Books Ever,122608,256088
6327,Best Books Ever,122608,256088
11590,Best Books Ever,122608,256088
14942,Best Books Ever,122608,256088
1215032,Best Books Ever,122608,256088
93,Best Books Ever,122608,256088
32085,Best Books Ever,122608,256088
68428,Best Books Ever,122608,256088
52357,Best Books Ever,122608,256088
65605,Best Books Ever,122608,256088
11857408,Best Books Ever,122608,256088
12000020,Best Books Ever,122608,256088
17347634,Best Books Ever,122608,256088
28676,Best Books Ever,122608,256088
49628,Best Books Ever,122608,256088
28881,Best Books Ever,122608,256088
18007564,Best Books Ever,122608,256088
228665,Best Books Ever,122608,256088
43545,Best Books Ever,122608,256088
228560,Best Books Ever,122608,256088
60748,Best Books Ever,122608,256088
16631,Best Books Ever,122608,256088
4687,Best Books Ever,122608,256088
15997,Best Books Ever,122608,256088
47281,Best Books Ever,122608,256088
310259,Best Books Ever,122608,256088
30597,Best Books Ever,122608,256088
8755785,Best Books Ever,122608,256088
3975774,Best Books Ever,122608,256088
11989,Best Books Ever,122608,256088
22822858,Best Books Ever,122608,256088
18114322,Best Books Ever,122608,256088
67896,Best Books Ever,122608,256088
31685789,Best Books Ever,122608,256088
40873273,Best Books Ever,122608,256088
36809135,Best Books Ever,122608,256088
13152,Best Books Ever,122608,256088
101299,Best Books Ever,122608,256088
41150487,Best Books Ever,122608,256088
35959740,Best Books Ever,122608,256088
5364,Best Books Ever,122608,256088
9460487,Best Books Ever,122608,256088
41804,Best Books Ever,122608,256088
12578077,Best Books Ever,122608,256088
6411961,Best Books Ever,122608,256088
10592,Best Books Ever,122608,256088
6952,Best Books Ever,122608,256088
17150,Best Books Ever,122608,256088
10956,Best Books Ever,122608,256088
6400090,Best Books Ever,122608,256088
6936382,Best Books Ever,122608,256088
4980,Best Books Ever,122608,256088
18635016,Best Books Ever,122608,256088
53835,Best Books Ever,122608,256088
16143347,Best Books Ever,122608,256088
11422,Best Books Ever,122608,256088
3950967,Best Books Ever,122608,256088
50623864,Best Books Ever,122608,256088
6319,Best Books Ever,122608,256088
40937505,Best Books Ever,122608,256088
28921,Best Books Ever,122608,256088
14706,Best Books Ever,122608,256088
22463,Best Books Ever,122608,256088
386187,Best Books Ever,122608,256088
187181,Best Books Ever,122608,256088
5526,Best Books Ever,122608,256088
32075671,Best Books Ever,122608,256088
59716,Best Books Ever,122608,256088
140225,Best Books Ever,122608,256088
18460392,Best Books Ever,122608,256088
397483,Best Books Ever,122608,256088
7354,Best Books Ever,122608,256088
136116,Best Books Ever,122608,256088
14201,Best Books Ever,122608,256088
130440,Best Books Ever,122608,256088
11012,Best Books Ever,122608,256088
2248573,Best Books Ever,122608,256088
22328546,Best Books Ever,122608,256088
5148,Best Books Ever,122608,256088
7791997,Best Books Ever,122608,256088
14836,Best Books Ever,122608,256088
2156,Best Books Ever,122608,256088
14866,Best Books Ever,122608,256088
33124137,Best Books Ever,122608,256088
18122,Best Books Ever,122608,256088
251688,Best Books Ever,122608,256088
7735333,Best Books Ever,122608,256088
6304335,Best Books Ever,122608,256088
17716,Best Books Ever,122608,256088
22232,Best Books Ever,122608,256088
8490112,Best Books Ever,122608,256088
19302,Best Books Ever,122608,256088
33600,Best Books Ever,122608,256088
8664353,Best Books Ever,122608,256088
6088007,Best Books Ever,122608,256088
179780,Best Books Ever,122608,256088
40916679,Best Books Ever,122608,256088
13188676,Best Books Ever,122608,256088
2932,Best Books Ever,122608,256088
17061,Best Books Ever,122608,256088
13497,Best Books Ever,122608,256088
838729,Best Books Ever,122608,256088
249747,Best Books Ever,122608,256088
